"구간","일자","교통량"
"서울TG→신갈JC","2026.07.09","82,771"
"서울TG→신갈JC","2026.07.10","99,498"
"서울TG→신갈JC","2026.07.11","101,136"
"서울TG→신갈JC","2026.07.12","91,268"
"서울TG→신갈JC","2026.07.13","100,211"
"서울TG→신갈JC","2026.07.14","93,999"
"서울TG→신갈JC","2026.07.15","97,181"
"서울TG→신갈JC","2026.07.16","104,329"
"서울TG→신갈JC","2026.07.17","101,129"
"서울TG→신갈JC","2026.07.18","85,823"
"서울TG→신갈JC","2026.07.19","89,309"
"서울TG→신갈JC","2026.07.20","95,199"
"서울TG→신갈JC","2026.07.21","89,632"
"서울TG→신갈JC","2026.07.22","92,793"
"서울TG→신갈JC","2026.07.23","98,583"
"서울TG→신갈JC","2026.07.24","99,797"
"서울TG→신갈JC","2026.07.25","102,370"
"서울TG→신갈JC","2026.07.26","91,494"
"서울TG→신갈JC","2026.07.27","100,482"
"서울TG→신갈JC","2026.07.28","98,582"
"서울TG→신갈JC","2026.07.29","99,933"
"서울TG→신갈JC","2026.07.30","100,929"
"서울TG→신갈JC","2026.07.31","105,279"
"서울TG→신갈JC","2026.08.01","102,017"
"서울TG→신갈JC","2026.08.02","93,155"
"서울TG→신갈JC","2026.08.03","95,158"
"서울TG→신갈JC","2026.08.04","95,519"
"서울TG→신갈JC","2026.08.05","97,894"
"서울TG→신갈JC","2026.08.06","98,153"
"서울TG→신갈JC","2026.08.07","97,511"
"서울TG→신갈JC","2026.08.08","99,923"
