버전,물동량,도로구간,원본_최적lag,원본_r,원본_p,요일제거_최적lag,요일제거_r,요일제거_p,N,강화여부
v1_화물차환산,남컨물동량,중앙선_대동IC-초정IC,10,-0.1454,2e-06,10,-0.1388,5e-06,1075,False
v1_화물차환산,남컨물동량,남해2지선_가락IC-서부산TG,0,0.1235,5e-05,0,0.1131,0.000204,1074,False
v2_전차종원시,남컨물동량,부산신항선_진해IC-남문대교,2,0.0777,0.019034,0,0.1229,0.000196,911,True
v1_화물차환산,남컨물동량,부산신항선_진해IC-남문대교,2,0.0662,0.045924,0,0.1081,0.001074,911,True
v1_화물차환산,북컨물동량,남해선(순천-부산)_김해JC-동김해IC,0,0.1415,0.0,0,0.1486,0.0,1437,True
v1_화물차환산,북컨물동량,남해선(순천-부산)_북부산TG-김해JC,0,0.1103,2.8e-05,0,0.1039,8.1e-05,1435,False
v1_화물차환산,북컨물동량,부산신항선_대청IC-진해IC,1,0.0887,0.002201,1,0.1345,3e-06,1188,True
v1_화물차환산,북컨물동량,중앙선_대감JC-대동IC,0,0.0859,0.001094,0,0.1054,6.1e-05,1442,True
v2_전차종원시,북컨물동량,부산신항선_대청IC-진해IC,1,0.0823,0.004544,1,0.1078,0.000197,1188,True
v2_전차종원시,서컨물동량,부산신항선_대청IC-진해IC,7,-0.1727,0.000531,7,-0.2374,2e-06,399,True
v1_화물차환산,서컨물동량,부산신항선_대청IC-진해IC,3,-0.1715,0.000582,7,-0.2175,1.2e-05,399,True
v1_화물차환산,서컨물동량,부산신항선_남진례IC-대청IC,3,-0.1562,0.001749,7,-0.2019,4.9e-05,399,True
v2_전차종원시,서컨물동량,부산신항선_남진례IC-대청IC,7,-0.1499,0.002678,7,-0.2019,4.9e-05,399,True
v1_화물차환산,서컨물동량,남해선(순천-부산)_김해JC-동김해IC,9,-0.1404,0.000339,7,-0.1368,0.000478,648,False
v1_화물차환산,서컨물동량,부산신항선_진해IC-남문대교,3,-0.124,0.013163,7,-0.1579,0.001559,399,True
v2_전차종원시,서컨물동량,부산신항선_진해IC-남문대교,3,-0.1138,0.022949,7,-0.1332,0.007719,399,True
v1_화물차환산,서컨물동량,중앙선_대동IC-초정IC,12,0.0958,0.01474,5,0.0732,0.062856,647,False
v1_화물차환산,서컨물동량,남해2지선_가락IC-서부산TG,4,0.074,0.059192,1,0.0592,0.131245,651,False
