물동량,부산신항선_버전,변수,계수,p-value,유의,R2(모델전체),Adj_R2(모델전체),AIC,BIC,N
서컨물동량,v1_화물차환산,남해2지선_가락IC-서부산TG_lag1,0.0209,0.174771,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,중앙선_대동IC-초정IC_lag5,0.0183,0.64205,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,남해선(순천-부산)_김해JC-동김해IC_lag7,-0.0631,0.035438,True,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,부산신항선_대청IC-진해IC_lag7,-1.5679,0.228169,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,부산신항선_남진례IC-대청IC_lag7,0.8763,0.670592,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,부산신항선_진해IC-남문대교_lag7,1.3874,0.278032,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_화,-36.0694,0.872802,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_수,109.6399,0.626927,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_목,596.7455,0.008305,True,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_금,298.4208,0.218415,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_토,-28.0957,0.929484,False,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v1_화물차환산,요일_일,-644.4297,0.046233,True,0.131,0.1021,6355.13,6406.14,374
서컨물동량,v2_전차종원시,남해2지선_가락IC-서부산TG_lag1,0.0204,0.181912,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,중앙선_대동IC-초정IC_lag5,-0.0031,0.936838,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,남해선(순천-부산)_김해JC-동김해IC_lag7,-0.0628,0.016161,True,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,부산신항선_대청IC-진해IC_lag7,-0.414,0.034389,True,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,부산신항선_남진례IC-대청IC_lag7,0.2664,0.370909,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,부산신항선_진해IC-남문대교_lag7,0.1922,0.192254,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_화,-32.7448,0.882558,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_수,135.7713,0.54308,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_목,566.063,0.011248,True,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_금,293.9751,0.212294,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_토,-241.7458,0.401367,False,0.1499,0.1216,6346.92,6397.94,374
서컨물동량,v2_전차종원시,요일_일,-698.988,0.029861,True,0.1499,0.1216,6346.92,6397.94,374
북컨물동량,v1_화물차환산,남해선(순천-부산)_김해JC-동김해IC_lag0,0.1976,0.00124,True,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,남해선(순천-부산)_북부산TG-김해JC_lag0,0.013,0.79411,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,중앙선_대감JC-대동IC_lag0,0.0407,0.588753,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,부산신항선_대청IC-진해IC_lag1,0.4499,0.037989,True,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_화,121.4242,0.743359,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_수,-256.8789,0.488241,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_목,331.6299,0.374957,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_금,735.5113,0.135129,False,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_토,1669.7184,0.005201,True,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v1_화물차환산,요일_일,1396.2166,0.018968,True,0.038,0.0298,22489.39,22545.17,1178
북컨물동량,v2_전차종원시,남해선(순천-부산)_김해JC-동김해IC_lag0,0.2055,0.000773,True,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,남해선(순천-부산)_북부산TG-김해JC_lag0,0.0127,0.803327,False,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,중앙선_대감JC-대동IC_lag0,0.0716,0.326017,False,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,부산신항선_대청IC-진해IC_lag1,0.0662,0.181554,False,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,요일_화,81.7029,0.825453,False,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,요일_수,-271.3751,0.464436,False,0.0359,0.0277,22491.93,22547.72,1178
북컨물동량,v2_전차종원시,요일_목,290.4895,0.438368,False,0.0359,0.0277,22491.93,22547.72,1178
