날짜,북컨물동량,남해선(순천-부산)_김해JC-동김해IC_lag0,남해선(순천-부산)_북부산TG-김해JC_lag0,중앙선_대감JC-대동IC_lag0,부산신항선_대청IC-진해IC_lag1
2022-01-01,946.4326923076915,-1428.306525423729,-383.6847457627118,-2633.2326359832637,44.84577114427884
2022-01-02,641.8173076923085,-24.726134453781583,264.61012605042015,-344.7547698744768,-626.1732673267325
2022-01-03,-2535.004926108375,1221.432616033755,2575.499240506329,-317.42326359832623,-66.85148514851608
2022-01-04,6113.149758454107,1501.0817721518988,2928.831308016878,137.70020920502066,77.42857142857247
2022-01-05,-5778.859903381643,1690.8228691983113,3032.7826160337545,297.22139240506294,140.0891089108918
2022-01-06,-5826.879227053139,1899.4630672268904,3162.756134453782,245.79411764705947,376.2999999999993
2022-01-07,4645.995121951219,1383.1546218487392,2884.8214830508477,-123.9415062761509,168.23383084577108
2022-01-08,-1474.5673076923085,848.943474576271,1392.0052542372882,281.51736401673634,169.84577114427884
2022-01-09,-3523.1826923076915,75.39386554621842,340.61012605042015,-241.69476987447683,1131.8267326732675
2022-01-10,1462.995073891625,1915.9626160337548,3172.839240506329,783.5467364016731,332.1485148514839
2022-01-11,-812.8502415458934,1947.4717721518982,3115.941308016878,509.19020920502044,247.42857142857247
2022-01-12,1254.1400966183573,1784.6928691983112,3084.932616033755,235.09139240506374,211.0891089108918
2022-01-13,-3833.8792270531394,1736.033067226891,3141.366134453782,279.1241176470594,640.2999999999993
2022-01-14,-3343.0048780487814,1669.1546218487392,2972.7214830508474,238.44849372385033,103.23383084577108
2022-01-15,8035.4326923076915,882.3334745762709,1424.3752542372881,391.5973640167367,104.84577114427884
2022-01-16,-3758.1826923076915,44.21386554621847,314.62012605042014,-249.8647698744769,801.8267326732675
2022-01-17,2135.995073891625,1864.7526160337547,3077.589240506329,808.7467364016738,542.1485148514839
2022-01-18,1688.1497584541066,2305.081772151899,3142.491308016878,534.7302092050195,498.42857142857247
2022-01-19,-337.85990338164265,3466.6128691983113,3199.812616033755,748.7413924050634,496.0891089108918
2022-01-20,-4129.879227053139,3072.653067226891,3039.866134453782,-53.29588235294068,603.2999999999993
2022-01-21,2722.9951219512186,3202.234621848739,2996.241483050848,389.51849372385004,611.2338308457711
2022-01-22,-165.56730769230853,1772.7434745762712,1539.725254237288,702.0473640167365,-62.15422885572116
2022-01-23,-1926.1826923076915,333.9338655462185,364.09012605042017,-199.39476987447688,1400.8267326732675
2022-01-24,2781.995073891625,4097.282616033755,3530.659240506329,1553.3267364016738,1556.148514851484
2022-01-25,-1114.8502415458934,4009.2317721518984,3532.9313080168777,1157.0502092050192,2330.4285714285725
2022-01-26,-532.8599033816427,3998.222869198312,3470.672616033755,1442.601392405064,1942.0891089108918
2022-01-27,7917.120772946861,3438.6230672268903,3222.6361344537822,598.3841176470596,1505.2999999999993
2022-01-28,569.9951219512186,2946.85462184874,2643.5614830508475,110.15849372384946,334.2338308457711
2022-01-29,5657.4326923076915,1127.0334745762711,1132.5852542372882,303.14736401673645,38.84577114427884
2022-01-30,-1446.1826923076915,175.73386554621845,271.0601260504201,-346.2547698744768,-8251.173267326732
2022-01-31,-4309.004926108375,-3546.907383966245,-1284.230759493671,-7343.003263598326,-7698.851485148516
2022-02-01,-5011.850241545893,-4895.498227848102,-2066.418691983122,-9043.90979079498,-7886.5714285714275
2022-02-02,-2670.8599033816427,-3741.527130801688,-1399.0373839662452,-7837.968607594937,-1742.9108910891082
2022-02-03,-771.8792270531394,1513.9230672268905,2072.086134453782,-2150.4958823529405,-808.7000000000007
2022-02-04,-2055.0048780487814,2623.0946218487397,2623.9314830508474,-229.2615062761506,-950.7661691542289
2022-02-05,1209.4326923076915,1460.443474576271,1377.0652542372882,339.36736401673625,-1113.1542288557212
2022-02-06,1499.8173076923085,365.2738655462184,388.72012605042016,-157.60476987447691,988.8267326732675
2022-02-07,-1924.004926108375,3321.672616033755,3145.7692405063294,803.2267364016734,702.1485148514839
2022-02-08,5477.149758454107,3315.371772151898,3150.831308016878,737.2802092050206,620.4285714285725
2022-02-09,-3836.8599033816427,3243.7528691983107,3007.4926160337545,590.6513924050632,593.0891089108918
2022-02-10,1352.1207729468606,3349.6830672268916,3094.8461344537823,320.23411764706,476.2999999999993
2022-02-11,-2608.0048780487814,2874.1346218487397,2801.491483050848,147.4884937238494,-306.7661691542289
2022-02-12,1987.4326923076915,1481.213474576271,1370.7352542372882,462.61736401673625,-809.1542288557212
2022-02-13,122.81730769230853,375.37386554621855,377.09012605042017,-109.89476987447688,863.8267326732675
2022-02-14,1677.995073891625,3615.092616033755,3111.839240506329,1013.7867364016747,549.1485148514839
