물동량,부산신항선_버전,버전,변수,VIF
서컨물동량,v1_화물차환산,B,남해2지선_가락IC-서부산TG_lag1,1.214669137759454
서컨물동량,v1_화물차환산,B,중앙선_대동IC-초정IC_lag5,1.2812867855035348
서컨물동량,v1_화물차환산,B,남해선(순천-부산)_김해JC-동김해IC_lag7,2.1208028263728966
서컨물동량,v1_화물차환산,B,부산신항선_대청IC-진해IC_lag7,360.54026627058363
서컨물동량,v1_화물차환산,B,부산신항선_남진례IC-대청IC_lag7,530.7637829909861
서컨물동량,v1_화물차환산,B,부산신항선_진해IC-남문대교_lag7,58.68896618587964
북컨물동량,v1_화물차환산,B,남해선(순천-부산)_김해JC-동김해IC_lag0,1.8184682070902751
북컨물동량,v1_화물차환산,B,남해선(순천-부산)_북부산TG-김해JC_lag0,1.4084155752931213
북컨물동량,v1_화물차환산,B,중앙선_대감JC-대동IC_lag0,1.5289451759541242
북컨물동량,v1_화물차환산,B,부산신항선_대청IC-진해IC_lag1,1.3623762987054944
남컨물동량,v1_화물차환산,B,남해2지선_가락IC-서부산TG_lag0,1.4661871174149397
남컨물동량,v1_화물차환산,B,중앙선_대동IC-초정IC_lag10,1.4243938542430883
남컨물동량,v1_화물차환산,B,부산신항선_진해IC-남문대교_lag0,1.0484021796639196
서컨물동량,v2_전차종원시,B,남해2지선_가락IC-서부산TG_lag1,1.1557919487781558
서컨물동량,v2_전차종원시,B,중앙선_대동IC-초정IC_lag5,1.3064403820520527
서컨물동량,v2_전차종원시,B,남해선(순천-부산)_김해JC-동김해IC_lag7,1.882243060071341
서컨물동량,v2_전차종원시,B,부산신항선_대청IC-진해IC_lag7,147.72329357013425
서컨물동량,v2_전차종원시,B,부산신항선_남진례IC-대청IC_lag7,219.35301425841828
서컨물동량,v2_전차종원시,B,부산신항선_진해IC-남문대교_lag7,32.0943283058909
북컨물동량,v2_전차종원시,B,남해선(순천-부산)_김해JC-동김해IC_lag0,1.8089889436971103
북컨물동량,v2_전차종원시,B,남해선(순천-부산)_북부산TG-김해JC_lag0,1.4706656096830544
북컨물동량,v2_전차종원시,B,중앙선_대감JC-대동IC_lag0,1.4336496875170117
북컨물동량,v2_전차종원시,B,부산신항선_대청IC-진해IC_lag1,1.2842581864043983
남컨물동량,v2_전차종원시,B,남해2지선_가락IC-서부산TG_lag0,1.507586286262843
남컨물동량,v2_전차종원시,B,중앙선_대동IC-초정IC_lag10,1.4270925943002868
남컨물동량,v2_전차종원시,B,부산신항선_진해IC-남문대교_lag0,1.1051637324044388
