물동량,부산신항선_버전,버전,변수,0이_아닌_관측_비율,데이터경고
서컨물동량,v1_화물차환산,B,남해2지선_가락IC-서부산TG_lag1,1.0,
서컨물동량,v1_화물차환산,B,중앙선_대동IC-초정IC_lag5,0.1283,
서컨물동량,v1_화물차환산,B,남해선(순천-부산)_김해JC-동김해IC_lag7,0.6471,
서컨물동량,v1_화물차환산,B,부산신항선_대청IC-진해IC_lag7,1.0,
서컨물동량,v1_화물차환산,B,부산신항선_남진례IC-대청IC_lag7,1.0,
서컨물동량,v1_화물차환산,B,부산신항선_진해IC-남문대교_lag7,1.0,
북컨물동량,v1_화물차환산,B,남해선(순천-부산)_김해JC-동김해IC_lag0,1.0,
북컨물동량,v1_화물차환산,B,남해선(순천-부산)_북부산TG-김해JC_lag0,1.0,
북컨물동량,v1_화물차환산,B,중앙선_대감JC-대동IC_lag0,1.0,
북컨물동량,v1_화물차환산,B,부산신항선_대청IC-진해IC_lag1,1.0,
남컨물동량,v1_화물차환산,B,남해2지선_가락IC-서부산TG_lag0,1.0,
남컨물동량,v1_화물차환산,B,중앙선_대동IC-초정IC_lag10,1.0,
남컨물동량,v1_화물차환산,B,부산신항선_진해IC-남문대교_lag0,1.0,
서컨물동량,v2_전차종원시,B,남해2지선_가락IC-서부산TG_lag1,1.0,
서컨물동량,v2_전차종원시,B,중앙선_대동IC-초정IC_lag5,0.1283,
서컨물동량,v2_전차종원시,B,남해선(순천-부산)_김해JC-동김해IC_lag7,0.6471,
서컨물동량,v2_전차종원시,B,부산신항선_대청IC-진해IC_lag7,1.0,
서컨물동량,v2_전차종원시,B,부산신항선_남진례IC-대청IC_lag7,1.0,
서컨물동량,v2_전차종원시,B,부산신항선_진해IC-남문대교_lag7,1.0,
북컨물동량,v2_전차종원시,B,남해선(순천-부산)_김해JC-동김해IC_lag0,1.0,
북컨물동량,v2_전차종원시,B,남해선(순천-부산)_북부산TG-김해JC_lag0,1.0,
북컨물동량,v2_전차종원시,B,중앙선_대감JC-대동IC_lag0,1.0,
북컨물동량,v2_전차종원시,B,부산신항선_대청IC-진해IC_lag1,1.0,
남컨물동량,v2_전차종원시,B,남해2지선_가락IC-서부산TG_lag0,1.0,
남컨물동량,v2_전차종원시,B,중앙선_대동IC-초정IC_lag10,1.0,
남컨물동량,v2_전차종원시,B,부산신항선_진해IC-남문대교_lag0,1.0,
