물동량,부산신항선_버전,버전,변수,계수,표준오차유형,p-value,유의(p<0.05),R2(모델전체),Adj_R2(모델전체),N
서컨물동량,v1_화물차환산,A_요일효과제거_편차,남해2지선_가락IC-서부산TG_lag1,0.020901247373499215,HC3,0.14683490817185646,False,0.10889567393284871,0.09432721083638296,374
서컨물동량,v1_화물차환산,A_요일효과제거_편차,중앙선_대동IC-초정IC_lag5,0.01831398374730272,HC3,0.6393619505172559,False,0.10889567393284871,0.09432721083638296,374
서컨물동량,v1_화물차환산,A_요일효과제거_편차,남해선(순천-부산)_김해JC-동김해IC_lag7,-0.0631272183857235,HC3,0.0490115602806192,True,0.10889567393284871,0.09432721083638296,374
서컨물동량,v1_화물차환산,A_요일효과제거_편차,부산신항선_대청IC-진해IC_lag7,-1.5678798118777957,HC3,0.2405063305826166,False,0.10889567393284871,0.09432721083638296,374
서컨물동량,v1_화물차환산,A_요일효과제거_편차,부산신항선_남진례IC-대청IC_lag7,0.8763277662683244,HC3,0.6403442353462667,False,0.10889567393284871,0.09432721083638296,374
서컨물동량,v1_화물차환산,A_요일효과제거_편차,부산신항선_진해IC-남문대교_lag7,1.3873626880425454,HC3,0.2626237619737166,False,0.10889567393284871,0.09432721083638296,374
북컨물동량,v1_화물차환산,A_요일효과제거_편차,남해선(순천-부산)_김해JC-동김해IC_lag0,0.19760770033000785,일반(OLS),0.0012046874650472213,True,0.03387898308051951,0.03058445275854349,1178
북컨물동량,v1_화물차환산,A_요일효과제거_편차,남해선(순천-부산)_북부산TG-김해JC_lag0,0.01297864192724278,일반(OLS),0.7935930088387458,False,0.03387898308051951,0.03058445275854349,1178
북컨물동량,v1_화물차환산,A_요일효과제거_편차,중앙선_대감JC-대동IC_lag0,0.040662036148723185,일반(OLS),0.5877961716386967,False,0.03387898308051951,0.03058445275854349,1178
북컨물동량,v1_화물차환산,A_요일효과제거_편차,부산신항선_대청IC-진해IC_lag1,0.44988375245173334,일반(OLS),0.037497933965504764,True,0.03387898308051951,0.03058445275854349,1178
남컨물동량,v1_화물차환산,A_요일효과제거_편차,남해2지선_가락IC-서부산TG_lag0,0.016909085115308448,일반(OLS),0.46550570563303534,False,0.03485422692208173,0.03163707434515528,904
남컨물동량,v1_화물차환산,A_요일효과제거_편차,중앙선_대동IC-초정IC_lag10,-0.12511188755859498,일반(OLS),0.0005509771503694578,True,0.03485422692208173,0.03163707434515528,904
남컨물동량,v1_화물차환산,A_요일효과제거_편차,부산신항선_진해IC-남문대교_lag0,1.1908636939990156,일반(OLS),0.008374802055450416,True,0.03485422692208173,0.03163707434515528,904
서컨물동량,v2_전차종원시,A_요일효과제거_편차,남해2지선_가락IC-서부산TG_lag1,0.02035746807428001,HC3,0.1591170008624444,False,0.1282218615153926,0.11396935788894125,374
서컨물동량,v2_전차종원시,A_요일효과제거_편차,중앙선_대동IC-초정IC_lag5,-0.0031411153789556384,HC3,0.937326918256859,False,0.1282218615153926,0.11396935788894125,374
서컨물동량,v2_전차종원시,A_요일효과제거_편차,남해선(순천-부산)_김해JC-동김해IC_lag7,-0.06275851562508131,HC3,0.018192671124079227,True,0.1282218615153926,0.11396935788894125,374
서컨물동량,v2_전차종원시,A_요일효과제거_편차,부산신항선_대청IC-진해IC_lag7,-0.4140407085914555,HC3,0.045056148721190334,True,0.1282218615153926,0.11396935788894125,374
서컨물동량,v2_전차종원시,A_요일효과제거_편차,부산신항선_남진례IC-대청IC_lag7,0.26640868920921695,HC3,0.34071193415247103,False,0.1282218615153926,0.11396935788894125,374
서컨물동량,v2_전차종원시,A_요일효과제거_편차,부산신항선_진해IC-남문대교_lag7,0.19220856827054286,HC3,0.13047204740173787,False,0.1282218615153926,0.11396935788894125,374
북컨물동량,v2_전차종원시,A_요일효과제거_편차,남해선(순천-부산)_김해JC-동김해IC_lag0,0.2055294126701183,일반(OLS),0.0007493394867441365,True,0.031789067610639266,0.02848741055219306,1178
북컨물동량,v2_전차종원시,A_요일효과제거_편차,남해선(순천-부산)_북부산TG-김해JC_lag0,0.012678163382034665,일반(OLS),0.8028319011093258,False,0.031789067610639266,0.02848741055219306,1178
북컨물동량,v2_전차종원시,A_요일효과제거_편차,중앙선_대감JC-대동IC_lag0,0.0715749252233104,일반(OLS),0.3247759936843698,False,0.031789067610639266,0.02848741055219306,1178
북컨물동량,v2_전차종원시,A_요일효과제거_편차,부산신항선_대청IC-진해IC_lag1,0.06621158852104411,일반(OLS),0.18043520462958346,False,0.031789067610639266,0.02848741055219306,1178
남컨물동량,v2_전차종원시,A_요일효과제거_편차,남해2지선_가락IC-서부산TG_lag0,0.011884869630259799,일반(OLS),0.6121188416245956,False,0.0361461475035576,0.03293330132856942,904
남컨물동량,v2_전차종원시,A_요일효과제거_편차,중앙선_대동IC-초정IC_lag10,-0.12210045685506953,일반(OLS),0.0007488869882991632,True,0.0361461475035576,0.03293330132856942,904
남컨물동량,v2_전차종원시,A_요일효과제거_편차,부산신항선_진해IC-남문대교_lag0,0.24589709099582735,일반(OLS),0.004291000667249129,True,0.0361461475035576,0.03293330132856942,904
