날짜,북컨물동량,남컨물동량,서컨물동량,남해2지선_가락IC-서부산TG,남해2지선_서부산IC-가락IC,남해선(순천-부산)_김해JC-동김해IC,남해선(순천-부산)_북부산TG-김해JC,부산신항선_남진례IC-대청IC,부산신항선_대청IC-진해IC,부산신항선_진례JC-남진례IC,부산신항선_진해IC-남문대교,중앙선_대감JC-대동IC,중앙선_대동IC-초정IC
2022-01-01,10619.0,5804.0,0.0,0.0,1897.39,890.81,671.73,283.06,506.96,,57.76,1122.69,1004.25
2022-01-02,10337.0,2533.0,0.0,0.0,7325.14,788.31,621.61,374.31,599.2,,67.11,1046.69,943.84
2022-01-03,7351.0,4163.0,0.0,0.0,19744.53,6021.34,4661.58,1841.58,2797.07,,780.67,8200.74,7035.58
2022-01-04,16035.0,3820.0,0.0,0.0,18011.1,6659.27,5166.8,2174.01,3255.9,,977.66,9421.62,8064.83
2022-01-05,4045.0,2479.0,0.0,0.0,19513.18,6760.28,5286.98,2170.43,3276.56,,986.79,9514.49,8097.19
2022-01-06,4342.0,7859.0,0.0,0.0,19520.0,7206.23,5455.05,2105.95,3137.3,,946.28,9918.42,8567.63
2022-01-07,14637.0,7902.0,0.0,0.0,17488.91,6489.65,5104.1,2289.26,3380.9,,960.79,9077.14,7758.9
2022-01-08,8198.0,1901.0,0.0,0.0,10278.48,3168.06,2447.42,1077.36,1767.03,,290.36,4037.44,3581.6
2022-01-09,6172.0,4081.0,0.0,0.0,7188.8,888.43,697.61,547.71,911.13,,95.27,1149.75,1030.5
2022-01-10,11349.0,14317.0,0.0,0.0,20780.6,6715.87,5258.92,2032.2,3010.31,,891.58,9301.71,7940.45
2022-01-11,9109.0,6975.0,0.0,0.0,20821.09,7105.66,5353.91,2191.43,3221.58,,1007.8,9793.11,8398.29
2022-01-12,11078.0,7457.0,0.0,0.0,18946.84,6854.15,5339.13,2275.5,3334.37,,1055.97,9452.36,8109.19
2022-01-13,6335.0,6719.0,0.0,0.0,18579.32,7042.8,5433.66,2194.39,3245.33,,1010.3,9951.75,8505.28
2022-01-14,6648.0,3276.0,0.0,0.0,18349.75,6775.65,5192.0,2285.19,3359.68,,971.42,9439.53,8056.4
2022-01-15,17708.0,7583.0,0.0,0.0,10053.95,3201.45,2479.79,1045.43,1736.19,,278.71,4147.52,3683.83
2022-01-16,5937.0,7415.0,0.0,0.0,7457.72,857.25,671.62,547.87,933.97,,94.14,1141.58,1025.68
2022-01-17,12022.0,2585.0,0.0,0.0,20407.12,6664.66,5163.67,2018.28,2959.64,,891.82,9326.91,7935.74
2022-01-18,11610.0,2289.0,0.0,0.0,18956.78,7463.27,5380.46,2186.29,3215.33,,992.31,9818.65,8378.24
2022-01-19,9486.0,2870.0,0.0,0.0,20160.89,8536.07,5454.01,2004.99,2976.69,,931.56,9966.01,8481.27
2022-01-20,6039.0,5996.0,0.0,0.0,19245.27,8379.42,5332.16,2237.98,3293.21,,1025.25,9619.33,8324.48
2022-01-21,12714.0,10763.0,0.0,0.0,17431.17,8308.73,5215.52,2309.91,3367.59,,1025.5,9590.6,8229.81
2022-01-22,9507.0,6264.0,0.0,0.0,10559.73,4091.86,2595.14,1162.85,1905.76,,341.79,4457.97,3930.38
2022-01-23,7769.0,8145.0,0.0,0.0,7881.74,1146.97,721.09,301.56,509.85,,63.18,1192.05,1074.73
2022-01-24,12668.0,6034.0,0.0,0.0,20901.85,8897.19,5616.74,2204.24,3247.59,,1000.42,10071.49,8576.59
2022-01-25,8807.0,8963.0,0.0,0.0,21252.78,9167.42,5770.9,2302.73,3391.3,,1080.87,10440.97,8885.9
2022-01-26,9291.0,2866.0,0.0,0.0,19120.76,9067.68,5724.87,2439.62,3528.98,,1188.68,10659.87,9032.56
2022-01-27,18086.0,9002.0,0.0,0.0,19265.13,8745.39,5514.93,2342.44,3411.68,,1116.66,10271.01,8799.44
2022-01-28,10561.0,6075.0,0.0,0.0,16749.12,8053.35,4862.84,2202.4,3221.53,,930.78,9311.24,7971.38
2022-01-29,15330.0,5493.0,0.0,0.0,9359.62,3446.15,2188.0,711.64,1131.88,,231.58,4059.07,3641.49
2022-01-30,8249.0,6699.0,0.0,0.0,3045.42,988.77,628.06,218.66,357.18,,49.14,1045.19,948.82
2022-01-31,5577.0,2824.0,0.0,0.0,2742.04,1253.0,801.85,189.94,318.83,,43.5,1175.16,1068.12
2022-02-01,4910.0,3257.0,0.0,,,262.69,171.55,105.12,169.4,,11.99,240.01,216.0
2022-02-02,7153.0,2148.0,0.0,,,1327.93,855.16,281.28,429.73,,60.03,1379.3,1240.5
2022-02-03,9397.0,7489.0,0.0,,,6820.69,4364.38,1755.04,2624.91,,787.47,7522.13,6417.23
2022-02-04,7936.0,3964.0,0.0,,,7729.59,4843.21,2054.59,3045.39,,997.83,8971.82,7673.29
2022-02-05,10882.0,7412.0,0.0,,,3779.56,2432.48,1053.49,1710.05,,337.62,4095.29,3627.37
2022-02-06,11195.0,1291.0,0.0,,,1178.31,745.72,500.87,869.76,,97.61,1233.84,1114.64
2022-02-07,7962.0,9749.0,0.0,,,8121.58,5231.85,2102.38,3085.99,,989.88,9321.39,8008.23
2022-02-08,15399.0,4521.0,0.0,,,8473.56,5388.8,2388.82,3502.64,,1150.69,10021.2,8568.47
2022-02-09,5987.0,3832.0,0.0,,,8313.21,5261.69,2254.87,3326.42,,1024.73,9807.92,8380.41
2022-02-10,11521.0,3425.0,0.0,,,8656.45,5387.14,2329.31,3435.53,,1122.26,9992.86,8579.13
2022-02-11,7383.0,5771.0,0.0,,,7980.63,5020.77,2386.08,3506.16,,1059.15,9348.57,7970.37
2022-02-12,11660.0,8490.0,0.0,,,3800.33,2426.15,1132.69,1886.84,,1622.71,4218.54,3739.32
2022-02-13,9818.0,5046.0,0.0,,,1188.41,734.09,416.13,707.68,,116.96,1281.55,1152.13
2022-02-14,11564.0,6080.0,0.0,,,8415.0,5197.92,2197.11,3210.39,,1081.65,9531.95,8120.78
2022-02-15,9639.0,4279.0,0.0,,,8444.49,5193.2,2183.25,3192.05,,1024.1,9740.13,8349.84
2022-02-16,15764.0,10163.0,0.0,,,8091.99,5097.66,2231.88,3263.12,,1062.67,9242.55,7925.7
2022-02-17,10557.0,6153.0,0.0,,,8159.55,5182.37,2277.73,3292.85,,1088.6,9731.38,8345.3
2022-02-18,10032.0,6361.0,0.0,,,8495.89,5198.55,2371.42,3452.67,,1094.73,9668.99,8138.16
2022-02-19,11117.0,5968.0,0.0,,,3763.92,2413.42,805.22,1296.84,,244.75,4045.23,3577.82
2022-02-20,9735.0,9464.0,0.0,,,1107.6,702.04,294.05,493.11,,62.62,1192.83,1070.43
2022-02-21,14138.0,4888.0,0.0,,,8155.64,5228.46,1958.5,2889.83,,920.31,9643.67,8236.81
2022-02-22,10356.0,9948.0,0.0,,,8287.05,5342.91,2025.99,3023.49,,976.05,9874.37,8484.03
2022-02-23,12511.0,8067.0,0.0,,,8692.67,5397.21,2128.44,3090.34,,1010.13,9948.05,8516.12
2022-02-24,13739.0,5172.0,0.0,,,8250.57,5412.04,2225.18,3285.34,,1085.84,10507.84,8976.87
2022-02-25,12608.0,3040.0,0.0,,,8538.45,5352.02,2309.12,3339.81,,1042.45,10238.43,8770.82
2022-02-26,13809.0,11912.0,0.0,,,4685.56,2878.66,1293.42,2062.54,,367.62,5349.78,4728.55
2022-02-27,12118.0,3641.0,0.0,,,1225.33,747.08,398.99,671.6,,81.56,1372.15,1240.75
2022-02-28,13634.0,7636.0,0.0,,,8137.56,5039.12,2106.31,3169.13,,913.74,9740.49,8404.09
2022-03-01,10179.0,2530.0,0.0,0.0,12323.13,3596.51,2204.14,1008.9,1639.66,,302.11,,
2022-03-02,10458.0,4214.0,0.0,0.0,20024.37,7607.38,5005.33,2105.02,3097.92,,991.64,,
2022-03-03,8928.0,10826.0,0.0,0.0,18640.24,7452.86,5653.02,2309.0,3442.56,,1126.1,,
2022-03-04,18710.0,4518.0,0.0,0.0,17398.69,6996.55,5229.03,2402.23,3499.64,,1141.31,,
2022-03-05,9802.0,7498.0,0.0,0.0,10860.48,3231.6,2475.69,1117.96,1806.13,,361.2,,
2022-03-06,8132.0,9536.0,0.0,0.0,7466.72,1026.62,770.32,448.28,773.91,,94.64,,
2022-03-07,8687.0,6737.0,0.0,0.0,20926.22,7308.48,5562.06,2337.59,3444.5,,1115.15,,
2022-03-08,10468.0,5577.0,0.0,0.0,19028.89,7219.05,5467.43,2333.32,3468.65,,1110.38,,
2022-03-09,10518.0,7447.0,0.0,0.0,14248.65,2813.16,2217.1,1026.91,1667.22,,273.05,,
2022-03-10,14040.0,6865.0,0.0,0.0,18953.19,6971.1,5394.79,2236.32,3328.8,,1102.12,,
2022-03-11,8288.0,3369.0,0.0,0.0,18809.72,7363.78,5528.52,2467.83,3597.53,,1172.12,,
2022-03-12,10069.0,11865.0,0.0,0.0,9344.79,4036.33,3148.8,1056.92,1714.16,,327.83,,
2022-03-13,11159.0,4172.0,0.0,0.0,6826.8,856.43,675.89,265.19,441.08,,52.68,,
2022-03-14,10793.0,12758.0,0.0,0.0,19005.21,6565.57,4973.1,1948.37,2865.85,,898.78,,
2022-03-15,10322.0,1055.0,0.0,0.0,19270.59,7049.67,5316.96,2099.61,3081.3,,1009.15,,
2022-03-16,9755.0,6026.0,0.0,0.0,18599.19,7074.75,5390.41,2007.32,2966.71,,975.92,,
2022-03-17,10852.0,9830.0,0.0,0.0,19280.38,7036.2,5334.21,1995.42,2946.69,,945.24,,
2022-03-18,9838.0,2954.0,0.0,0.0,15987.07,6206.64,4645.69,1886.51,2804.26,,834.36,,
2022-03-19,7917.0,4234.0,0.0,0.0,10563.4,2785.75,2221.68,667.11,1118.31,,183.39,,
2022-03-20,10052.0,8368.0,0.0,0.0,7906.05,864.55,667.3,258.61,442.54,,47.58,,
2022-03-21,11122.0,12739.0,0.0,0.0,19954.91,6998.73,5305.25,1990.49,2976.69,,920.3,,
2022-03-22,12196.0,5506.0,0.0,0.0,18858.92,7078.2,5406.34,2090.17,3069.61,,1006.62,,
2022-03-23,11679.0,6066.0,0.0,0.0,19172.97,6952.48,5409.66,2006.01,2997.6,,961.72,,
2022-03-24,9759.0,7483.0,0.0,0.0,19101.03,7243.18,5496.81,2073.79,3058.79,,979.73,,
2022-03-25,15832.0,6644.0,0.0,0.0,17934.45,6897.73,5219.65,2041.88,3022.89,,904.37,,
2022-03-26,5010.0,6046.0,0.0,0.0,8111.29,2716.0,2121.61,764.07,1275.77,,221.07,,
2022-03-27,13316.0,5564.0,0.0,0.0,7050.6,925.51,702.59,286.34,484.9,,55.79,,
2022-03-28,17755.0,7046.0,0.0,0.0,20022.05,6894.64,5162.08,1929.46,2871.85,,889.5,,
2022-03-29,8644.0,6657.0,0.0,0.0,18404.9,7136.6,5376.69,2120.84,3165.99,,1003.35,,
2022-03-30,13923.0,8062.0,0.0,0.0,17404.74,6784.07,5233.12,1953.8,2883.78,,905.46,,
2022-03-31,8812.0,2898.0,0.0,0.0,17932.38,6863.17,5201.99,1968.94,2909.34,,886.8,,
2022-04-01,12383.0,5505.0,0.0,0.0,18545.83,6839.93,5083.32,2303.31,3437.27,,978.5,9522.63,8176.81
2022-04-02,5372.0,6664.0,0.0,0.0,8225.32,2802.41,2137.91,1118.63,1868.67,,248.15,3429.13,3020.82
2022-04-03,16190.0,12389.0,0.0,0.0,7384.05,916.33,706.55,340.76,583.38,,57.43,1181.77,1062.43
2022-04-04,12316.0,2470.0,0.0,0.0,21783.51,7000.66,5362.08,2084.88,3077.03,,917.93,9574.12,8203.77
2022-04-05,9262.0,4792.0,0.0,0.0,19322.85,7034.57,5433.14,2263.73,3364.14,,1086.58,9893.66,8380.8
2022-04-06,10516.0,11087.0,0.0,0.0,18352.65,7041.43,5285.94,2288.55,3413.24,,1019.3,9610.41,8129.55
2022-04-07,12876.0,7246.0,0.0,0.0,18608.48,6796.12,5071.68,2215.96,3322.91,,1021.76,9471.77,8081.51
2022-04-08,7954.0,4124.0,0.0,0.0,18053.7,7108.32,5260.26,2272.95,3325.66,,964.02,9742.95,8266.68
2022-04-09,8640.0,5396.0,0.0,0.0,9694.27,3737.32,2899.52,994.25,1645.87,,262.96,4710.5,4130.28
2022-04-10,10868.0,6289.0,0.0,0.0,8006.61,1004.21,772.78,383.25,647.58,,69.92,1282.1,1159.07
2022-04-11,9330.0,8752.0,0.0,0.0,18931.49,6677.19,5108.08,2077.56,3087.91,,916.13,9372.29,8039.37
2022-04-12,4794.0,9204.0,0.0,0.0,19230.06,7152.88,5506.34,2205.76,3289.66,,1010.0,10071.99,8712.63
2022-04-13,15093.0,5061.0,0.0,0.0,17412.74,6877.17,5349.96,1938.39,2895.42,,911.19,10161.5,8748.85
2022-04-14,17170.0,5393.0,0.0,0.0,17534.51,7025.7,5329.53,1968.56,2935.24,,944.46,10145.51,8705.82
2022-04-15,9305.0,5445.0,0.0,0.0,18330.4,7026.87,5198.19,2304.46,3415.17,,1018.84,9755.58,8151.5
2022-04-16,9387.0,7881.0,0.0,0.0,11975.99,3461.87,2615.37,1134.49,1849.23,,316.2,4340.88,3931.47
2022-04-17,10054.0,9163.0,0.0,0.0,7131.13,1174.14,892.53,329.81,552.88,,67.66,1495.73,1404.63
2022-04-18,11546.0,9519.0,0.0,0.0,19433.28,7092.34,5337.35,2126.67,3137.93,,983.95,9925.87,8561.77
2022-04-19,12249.0,7502.0,0.0,0.0,18681.45,7264.09,5440.7,2217.5,3267.38,,1045.4,10183.2,8668.65
2022-04-20,10733.0,6389.0,0.0,0.0,20194.06,7133.16,5322.51,2191.52,3219.67,,1050.54,9833.97,8307.01
2022-04-21,10182.0,6568.0,0.0,0.0,17631.35,6931.99,5131.35,2161.81,3227.2,,1070.95,9797.49,8299.63
2022-04-22,10751.0,5082.0,0.0,0.0,17309.24,6621.9,5074.06,2352.84,3438.77,,1018.15,9384.91,8163.73
2022-04-23,15120.0,5331.0,0.0,0.0,8905.7,3411.65,2602.96,1130.77,1853.01,,311.79,4406.82,3993.73
2022-04-24,12453.0,5303.0,0.0,0.0,7599.12,985.26,759.09,355.36,592.56,,64.9,1270.39,1221.86
2022-04-25,17345.0,4144.0,0.0,0.0,17980.98,6744.29,5210.13,2020.43,3030.3,,868.13,9480.12,8390.08
2022-04-26,11731.0,7720.0,0.0,0.0,13141.64,5303.32,4386.01,1764.48,2618.98,,813.46,8351.18,7220.68
2022-04-27,11643.0,3006.0,0.0,0.0,19207.86,6882.93,5146.22,2048.38,3097.07,,964.9,9488.61,7119.4
2022-04-28,9949.0,3920.0,0.0,0.0,18950.81,7178.98,5395.75,2177.0,3294.68,,1049.81,10177.37,7570.44
2022-04-29,12784.0,7610.0,0.0,0.0,16380.98,6282.88,4558.73,1903.19,2799.2,,823.23,8658.87,6528.67
2022-04-30,12633.0,4100.0,0.0,0.0,8184.16,2945.59,2229.6,815.92,1334.82,,223.25,3626.98,2869.79
2022-05-01,14569.0,4444.0,0.0,,,920.61,690.67,323.19,532.4,,62.04,,
2022-05-02,10009.0,4715.0,0.0,,,6972.49,5199.27,1831.97,2744.76,,808.83,,
2022-05-03,13356.0,5233.0,0.0,,,7346.91,5469.44,2146.38,3195.62,,1018.83,,
2022-05-04,,,0.0,,,7417.84,5519.11,2233.81,3319.08,,987.13,,
2022-05-05,8380.0,17897.0,0.0,,,3240.55,2453.36,1124.09,1762.69,,248.36,,
2022-05-06,8282.0,6409.0,0.0,,,6517.25,4873.65,2125.55,3182.65,,909.01,,
2022-05-07,14462.0,8710.0,0.0,,,2993.35,2289.5,1078.02,1710.14,,244.95,,
2022-05-08,14302.0,6329.0,0.0,,,970.74,742.65,323.86,528.11,,50.02,,
2022-05-09,8321.0,7305.0,0.0,,,6639.36,4970.18,2051.35,3047.03,,893.76,,
2022-05-10,12813.0,2387.0,0.0,,,6691.47,5067.94,2299.54,3402.09,,1077.96,,
2022-05-11,8218.0,3987.0,0.0,,,6612.28,5137.89,2175.41,3224.33,,974.82,,
2022-05-12,8180.0,3463.0,0.0,,,6589.53,5211.9,2002.99,3095.02,,945.28,,
2022-05-13,12442.0,10109.0,0.0,,,6277.87,4861.59,2173.22,3263.5,,918.11,,
2022-05-14,10482.0,3244.0,0.0,,,3261.75,2528.06,874.84,1449.78,,218.08,,
