날짜,북컨물동량,남컨물동량,서컨물동량,남해2지선_가락IC-서부산TG,남해2지선_서부산IC-가락IC,남해선(순천-부산)_김해JC-동김해IC,남해선(순천-부산)_북부산TG-김해JC,중앙선_대감JC-대동IC,중앙선_대동IC-초정IC,부산신항선_남진례IC-대청IC,부산신항선_대청IC-진해IC,부산신항선_진례JC-남진례IC,부산신항선_진해IC-남문대교
2022-01-01,10619.0,5804.0,,0.0,1897.39,890.81,671.73,1122.69,1004.25,5832.0,10445.0,,1190.0
2022-01-02,10337.0,2533.0,,0.0,7325.14,788.31,621.61,1046.69,943.84,5466.0,8750.0,,980.0
2022-01-03,7351.0,4163.0,,0.0,19744.53,6021.34,4661.58,8200.74,7035.58,10271.0,15600.0,,4354.0
2022-01-04,16035.0,3820.0,,0.0,18011.1,6659.27,5166.8,9421.62,8064.83,11283.0,16898.0,,5074.0
2022-01-05,4045.0,2479.0,,0.0,19513.18,6760.28,5286.98,9514.49,8097.19,11312.0,17077.0,,5143.0
2022-01-06,4342.0,7859.0,,0.0,19520.0,7206.23,5455.05,9918.42,8567.63,11635.0,17333.0,,5228.0
2022-01-07,14637.0,7902.0,,0.0,17488.91,6489.65,5104.1,9077.14,7758.9,12247.0,18087.0,,5140.0
2022-01-08,8198.0,1901.0,,0.0,10278.48,3168.06,2447.42,4037.44,3581.6,7328.0,12019.0,,1975.0
2022-01-09,6172.0,4081.0,,0.0,7188.8,888.43,697.61,1149.75,1030.5,5335.0,8875.0,,928.0
2022-01-10,11349.0,14317.0,,0.0,20780.6,6715.87,5258.92,9301.71,7940.45,11718.0,17358.0,,5141.0
2022-01-11,9109.0,6975.0,,0.0,20821.09,7105.66,5353.91,9793.11,8398.29,11766.0,17297.0,,5411.0
2022-01-12,11078.0,7457.0,,0.0,18946.84,6854.15,5339.13,9452.36,8109.19,11770.0,17247.0,,5462.0
2022-01-13,6335.0,6719.0,,0.0,18579.32,7042.8,5433.66,9951.75,8505.28,11768.0,17404.0,,5418.0
2022-01-14,6648.0,3276.0,,0.0,18349.75,6775.65,5192.0,9439.53,8056.4,12482.0,18351.0,,5306.0
2022-01-15,17708.0,7583.0,,0.0,10053.95,3201.45,2479.79,4147.52,3683.83,7198.0,11954.0,,1919.0
2022-01-16,5937.0,7415.0,,0.0,7457.72,857.25,671.62,1141.58,1025.68,5168.0,8810.0,,888.0
2022-01-17,12022.0,2585.0,,0.0,20407.12,6664.66,5163.67,9326.91,7935.74,11612.0,17028.0,,5131.0
2022-01-18,11610.0,2289.0,,0.0,18956.78,7463.27,5380.46,9818.65,8378.24,11904.0,17507.0,,5403.0
2022-01-19,9486.0,2870.0,,0.0,20160.89,8536.07,5454.01,9966.01,8481.27,11786.0,17498.0,,5476.0
2022-01-20,6039.0,5996.0,,0.0,19245.27,8379.42,5332.16,9619.33,8324.48,12021.0,17689.0,,5507.0
2022-01-21,12714.0,10763.0,,0.0,17431.17,8308.73,5215.52,9590.6,8229.81,12562.0,18314.0,,5577.0
2022-01-22,9507.0,6264.0,,0.0,10559.73,4091.86,2595.14,4457.97,3930.38,7604.0,12462.0,,2235.0
2022-01-23,7769.0,8145.0,,0.0,7881.74,1146.97,721.09,1192.05,1074.73,5112.0,8643.0,,1071.0
