구분,폴더존재,수집단위,수집됨,전체,결측비율(%),결측중_진짜없음_추정일수,결측중_재시도필요_추정일수
VDS원본-부산신항선-진해IC-남문대교,True,일,1220,1461,16.5,241.0,0.0
VDS원본-부산신항선-남진례IC-대청IC,True,일,1220,1461,16.5,241.0,0.0
VDS원본-부산신항선-대청IC-진해IC,True,일,1220,1461,16.5,241.0,0.0
VDS원본-부산신항선-진례JC-남진례IC,True,일,0,1461,100.0,1461.0,0.0
VDS원본-남해2지선-가락IC-서부산TG,True,일,1461,1461,0.0,0.0,0.0
VDS원본-남해2지선-서부산IC-가락IC,True,일,1461,1461,0.0,0.0,0.0
VDS원본-남해선(순천-부산)-김해JC-동김해IC,True,일,1461,1461,0.0,0.0,0.0
VDS원본-남해선(순천-부산)-북부산TG-김해JC,True,일,1461,1461,0.0,0.0,0.0
VDS원본-중앙선-대동IC-초정IC,True,일,1461,1461,0.0,0.0,0.0
VDS원본-중앙선-대감JC-대동IC,True,일,1461,1461,0.0,0.0,0.0
TCS-가락,True,월,33,48,45.8,,
TCS-대동,True,월,34,48,54.2,,
TCS-남진례,False,월,0,48,100.0,,
TCS-대청,False,월,0,48,100.0,,
TCS-진해,False,월,0,48,100.0,,
TCS-진해본선,False,월,0,48,100.0,,
TCS-진례,True,월,127,48,0.0,,
