물동량,도로구간,교통량_측정방식,상관계수,p-value,N,비고,도로구간_결측률,최장연속결측일수,결측_집중연도(90%+)
북컨물동량,남해선(순천-부산)_김해JC-동김해IC,화물차환산_통행량,0.1415,0.0,1437,,0.007,2,
남컨물동량,남해2지선_가락IC-서부산TG,화물차환산_통행량,0.1235,5e-05,1074,,0.004,2,
북컨물동량,남해선(순천-부산)_북부산TG-김해JC,화물차환산_통행량,0.1103,2.8e-05,1435,,0.008,2,
서컨물동량,부산신항선_대청IC-진해IC,화물차환산_통행량,-0.1033,0.03918,399,,0.157,198,
서컨물동량,남해선(순천-부산)_김해JC-동김해IC,화물차환산_통행량,-0.1012,0.009918,648,,0.007,2,
서컨물동량,부산신항선_남진례IC-대청IC,화물차환산_통행량,-0.0916,0.067626,399,,0.157,198,
남컨물동량,남해2지선_서부산IC-가락IC,화물차환산_통행량,0.0876,0.004078,1074,,0.004,2,
북컨물동량,부산신항선_대청IC-진해IC,화물차환산_통행량,0.0869,0.002732,1188,,0.157,198,
북컨물동량,중앙선_대감JC-대동IC,화물차환산_통행량,0.0859,0.001094,1442,,0.002,2,
북컨물동량,중앙선_대동IC-초정IC,화물차환산_통행량,0.0779,0.003152,1436,,0.006,2,
북컨물동량,부산신항선_남진례IC-대청IC,화물차환산_통행량,0.0743,0.010386,1188,,0.157,198,
서컨물동량,부산신항선_진해IC-남문대교,화물차환산_통행량,-0.0641,0.201176,399,,0.157,198,
남컨물동량,중앙선_대동IC-초정IC,화물차환산_통행량,-0.0639,0.036411,1073,,0.006,2,
북컨물동량,부산신항선_진해IC-남문대교,화물차환산_통행량,0.0583,0.044508,1188,,0.157,198,
남컨물동량,부산신항선_진해IC-남문대교,화물차환산_통행량,0.0513,0.12141,913,,0.157,198,
서컨물동량,중앙선_대동IC-초정IC,화물차환산_통행량,0.0499,0.205144,647,,0.006,2,
북컨물동량,남해2지선_서부산IC-가락IC,화물차환산_통행량,0.0447,0.090038,1439,,0.004,2,
북컨물동량,남해2지선_가락IC-서부산TG,화물차환산_통행량,-0.0438,0.096936,1439,,0.004,2,
남컨물동량,부산신항선_남진례IC-대청IC,화물차환산_통행량,0.042,0.205117,913,,0.157,198,
남컨물동량,부산신항선_대청IC-진해IC,화물차환산_통행량,0.0383,0.247137,913,,0.157,198,
서컨물동량,중앙선_대감JC-대동IC,화물차환산_통행량,-0.037,0.345241,654,,0.002,2,
남컨물동량,남해선(순천-부산)_북부산TG-김해JC,화물차환산_통행량,-0.036,0.238089,1073,,0.008,2,
남컨물동량,남해선(순천-부산)_김해JC-동김해IC,화물차환산_통행량,0.0303,0.321569,1073,,0.007,2,
남컨물동량,중앙선_대감JC-대동IC,화물차환산_통행량,0.0211,0.48887,1076,,0.002,2,
서컨물동량,남해2지선_가락IC-서부산TG,화물차환산_통행량,0.0107,0.784744,651,,0.004,2,
서컨물동량,남해2지선_서부산IC-가락IC,화물차환산_통행량,0.0103,0.793179,651,,0.004,2,
북컨물동량,부산신항선_진례JC-남진례IC,화물차환산_통행량,,,0,표본 부족(N<3) - 데이터 더 필요,0.986,1650,"2022,2023,2024,2025"
남컨물동량,부산신항선_진례JC-남진례IC,화물차환산_통행량,,,0,표본 부족(N<3) - 데이터 더 필요,0.986,1650,"2022,2023,2024,2025"
서컨물동량,남해선(순천-부산)_북부산TG-김해JC,화물차환산_통행량,,,646,,0.008,2,
서컨물동량,부산신항선_진례JC-남진례IC,화물차환산_통행량,,,0,표본 부족(N<3) - 데이터 더 필요,0.986,1650,"2022,2023,2024,2025"
